2,Aguascalientes,1,01/01/2016,01/01/2016,
3,Baja California,1,01/01/2016,01/01/2016,
4,Baja California Sur,1,01/01/2016,01/01/2016,
5,Campeche,1,01/01/2016,01/01/2016,
6,Chiapas,1,01/01/2016,01/01/2016,
7,Chihuahua,1,01/01/2016,01/01/2016,
8,Coahuila,1,01/01/2016,01/01/2016,
9,Colima,1,01/01/2016,01/01/2016,
10,Distrito Federal,1,01/01/2016,01/01/2016,
11,Durango,1,01/01/2016,01/01/2016,
12,Estado de Mexico,1,01/01/2016,01/01/2016,
13,Guanajuato,1,01/01/2016,01/01/2016,
14,Guerrero,1,01/01/2016,01/01/2016,
15,Hidalgo,1,01/01/2016,01/01/2016,
16,Jalisco,1,01/01/2016,01/01/2016,
17,Michoacan,1,01/01/2016,01/01/2016,
18,Morelos,1,01/01/2016,01/01/2016,
19,Nayarit,1,01/01/2016,01/01/2016,
20,Nuevo Leon,1,01/01/2016,01/01/2016,
21,Oaxaca,1,01/01/2016,01/01/2016,
22,Puebla,1,01/01/2016,01/01/2016,
23,Queretaro,1,01/01/2016,01/01/2016,
24,Quintana Roo,1,01/01/2016,01/01/2016,
25,San Luis Potosi,1,01/01/2016,01/01/2016,
26,Sinaloa,1,01/01/2016,01/01/2016,
27,Sonora,1,01/01/2016,01/01/2016,
28,Tabasco,1,01/01/2016,01/01/2016,
29,Tamaulipas,1,01/01/2016,01/01/2016,
30,Tlaxcala,1,01/01/2016,01/01/2016,
31,Veracruz,1,01/01/2016,01/01/2016,
32,Yucatan,1,01/01/2016,01/01/2016,
33,Zacatecas,1,01/01/2016,01/01/2016,
34,Alabama,2,01/01/2016,01/01/2016,
35,Alaska,2,01/01/2016,01/01/2016,
36,Arizona,2,01/01/2016,01/01/2016,
37,Arkansas,2,01/01/2016,01/01/2016,
38,California,2,01/01/2016,01/01/2016,
39,Canadá,2,01/01/2016,01/01/2016,
40,Carolina del Norte,2,01/01/2016,01/01/2016,
41,Carolina del Sur,2,01/01/2016,01/01/2016,
42,Colorado,2,01/01/2016,01/01/2016,
43,Connecticut,2,01/01/2016,01/01/2016,
44,Dakota del Norte,2,01/01/2016,01/01/2016,
45,Dakota del Sur,2,01/01/2016,01/01/2016,
46,Delaware,2,01/01/2016,01/01/2016,
47,Distrito del Columbia,2,01/01/2016,01/01/2016,
48,Florida,2,01/01/2016,01/01/2016,
49,Georgia,2,01/01/2016,01/01/2016,
50,Hawai,2,01/01/2016,01/01/2016,
51,Idaho,2,01/01/2016,01/01/2016,
52,Illinois,2,01/01/2016,01/01/2016,
53,Indiana,2,01/01/2016,01/01/2016,
54,Iowa,2,01/01/2016,01/01/2016,
55,Kansas,2,01/01/2016,01/01/2016,
56,Kentucky,2,01/01/2016,01/01/2016,
57,Louisiana,2,01/01/2016,01/01/2016,
58,Maine,2,01/01/2016,01/01/2016,
59,Maryland,2,01/01/2016,01/01/2016,
60,Massachusetts,2,01/01/2016,01/01/2016,
61,Michigan,2,01/01/2016,01/01/2016,
62,Minnesota,2,01/01/2016,01/01/2016,
63,Mississippi,2,01/01/2016,01/01/2016,
64,Missouri,2,01/01/2016,01/01/2016,
65,Montana,2,01/01/2016,01/01/2016,
66,Nebraska,2,01/01/2016,01/01/2016,
67,Nevada,2,01/01/2016,01/01/2016,
68,Nueva Hampshire,2,01/01/2016,01/01/2016,
69,Nueva Jersey,2,01/01/2016,01/01/2016,
70,Nueva York,2,01/01/2016,01/01/2016,
71,Nuevo México,2,01/01/2016,01/01/2016,
72,Ohio,2,01/01/2016,01/01/2016,
73,Oklahoma,2,01/01/2016,01/01/2016,
74,Oregón,2,01/01/2016,01/01/2016,
75,Pennsylvania,2,01/01/2016,01/01/2016,
76,Rhode Island,2,01/01/2016,01/01/2016,
77,Tennessee,2,01/01/2016,01/01/2016,
78,Texas,2,01/01/2016,01/01/2016,
79,Utah,2,01/01/2016,01/01/2016,
80,Vermont,2,01/01/2016,01/01/2016,
81,Virginia,2,01/01/2016,01/01/2016,
82,Virginia del Oeste,2,01/01/2016,01/01/2016,
83,Washington,2,01/01/2016,01/01/2016,
84,Washington D.C.,2,01/01/2016,01/01/2016,
85,Wisconsin,2,01/01/2016,01/01/2016,
86,Wyoming,2,01/01/2016,01/01/2016,
